"Word","Length","Freq_HAL","Log_Freq_HAL","POS","I_Mean_RT","I_Mean_Accuracy"
"monogamously","12","16","2.77","RB","NULL","NULL"
"monogrammed","11","46","3.83","JJ|VB","NULL","NULL"
"monograms","9","18","2.89","NN","NULL","NULL"
"monoliths","9","94","4.54","NN","NULL","NULL"
"monologues","10","136","4.91","NN","NULL","NULL"
"monomania","9","11","2.40","NN","NULL","NULL"
"monomaniac","10","8","2.08","NN","NULL","NULL"
"monomaniacs","11","12","2.48","NN","NULL","NULL"
"monomanias","10","0","0.00","NN","NULL","NULL"
"MONOMERS","8","23","3.14","NULL","NULL","NULL"
"MONONUCLEAR","11","66","4.19","JJ","NULL","NULL"
"monophthong","11","0","0.00","NN","NULL","NULL"
"monophthongs","12","0","0.00","NN","NULL","NULL"
"monoplane","9","25","3.22","NN","NULL","NULL"
"monoplanes","10","5","1.61","NN","NULL","NULL"
"monopolist","10","37","3.61","NN","NULL","NULL"
"monopolistically","16","9","2.20","RB","NULL","NULL"
"monopolized","11","150","5.01","VB","NULL","NULL"
"monopolizes","11","9","2.20","VB","NULL","NULL"
"monopolizing","12","94","4.54","VB","NULL","NULL"
"monopolizations","15","0","0.00","NN","NULL","NULL"
"monorails","9","55","4.01","NN","NULL","NULL"
"monos","5","174","5.16","NN","NULL","NULL"
"monosyllabically","16","1","0.00","RB","NULL","NULL"
"monotheist","10","45","3.81","NN|JJ","NULL","NULL"
"monotheistic","12","251","5.53","JJ","NULL","NULL"
"monotheists","11","59","4.08","NN","NULL","NULL"
"monotonously","12","13","2.56","RB","NULL","NULL"
"monotonousness","14","0","0.00","NN","NULL","NULL"
"monotype","8","282","5.64","NN","NULL","NULL"
"monotypes","9","3","1.10","NN","NULL","NULL"
"monoxides","9","0","0.00","NN","NULL","NULL"
"monsignors","10","12","2.48","NULL","NULL","NULL"
"monsoons","8","49","3.89","NN","NULL","NULL"
"monstrance","10","6","1.79","NN","NULL","NULL"
"monstrances","11","0","0.00","NULL","NULL","NULL"
"monstrosities","13","278","5.63","NN","NULL","NULL"
"monstrously","11","76","4.33","RB","NULL","NULL"
"MONT","4","474","6.16","NN","NULL","NULL"
"montages","8","44","3.78","NN","NULL","NULL"
"MONTAIGNE","9","124","4.82","NULL","NULL","NULL"
"MONTENEGRIN","11","150","5.01","NN","NULL","NULL"
"MONTERO","7","91","4.51","NN","NULL","NULL"
"MONTERO'S","9","6","1.79","NULL","NULL","NULL"
"MONTEVERDI","10","215","5.37","NN","NULL","NULL"
"MONTEVIDEO","10","215","5.37","NN","NULL","NULL"
"MONTFAUCON","10","5","1.61","NULL","NULL","NULL"
"monthlies","9","91","4.51","NN","NULL","NULL"
"MONTMARTRE","10","40","3.69","NN","NULL","NULL"
"MONTMORILLONITES","16","0","0.00","NULL","NULL","NULL"
"MONTRACHET","10","13","2.56","NULL","NULL","NULL"
"MONTREUX","8","86","4.45","NULL","NULL","NULL"
"Montserrat","10","237","5.47","NN","NULL","NULL"
"Montserratian","13","0","0.00","NULL","NULL","NULL"
"Montserratians","14","0","0.00","NULL","NULL","NULL"
"mooched","7","5","1.61","VB","NULL","NULL"
"mooches","7","10","2.30","VB","NULL","NULL"
"mooching","8","50","3.91","VB|NN|JJ","NULL","NULL"
"moocows","7","0","0.00","NN|VB","NULL","NULL"
"moodier","7","2","0.69","JJ","NULL","NULL"
"moodiest","8","0","0.00","JJ","NULL","NULL"
"moodiness","9","43","3.76","NN","NULL","NULL"
"mooing","6","65","4.17","VB|NN|JJ","NULL","NULL"
"MOONAN","6","0","0.00","NN","NULL","NULL"
"moonbeams","9","30","3.40","NN","NULL","NULL"
"mooncalf","8","10","2.30","NN","NULL","NULL"
"mooncalves","10","0","0.00","NULL","NULL","NULL"
"MOONCURSERS","11","0","0.00","NULL","NULL","NULL"
"moonflower","10","8","2.08","NN","NULL","NULL"
"moonflowers","11","4","1.39","NN","NULL","NULL"
"moonier","7","0","0.00","NN","NULL","NULL"
"mooniest","8","0","0.00","NULL","NULL","NULL"
"moonlighted","11","9","2.20","VB","NULL","NULL"
"moonlighter","11","14","2.64","NN","NULL","NULL"
"moonlighters","12","6","1.79","NN","NULL","NULL"
"moonlighting","12","234","5.46","VB|NN","NULL","NULL"
"moonlights","10","18","2.89","NN","NULL","NULL"
"moonstones","10","4","1.39","NN","NULL","NULL"
"MOONTRACK","9","0","0.00","NN|VB","NULL","NULL"
"moorcock","8","184","5.21","NN","NULL","NULL"
"moorcocks","9","0","0.00","NULL","NULL","NULL"
"moorfowl","8","0","0.00","NN","NULL","NULL"
"moorfowls","9","0","0.00","NN","NULL","NULL"
"moorgame","8","0","0.00","NN|VB","NULL","NULL"
"moorhen","7","6","1.79","NN","NULL","NULL"
"moorhens","8","8","2.08","NN","NULL","NULL"
"moorings","8","164","5.10","NN","NULL","NULL"
"moorlands","9","6","1.79","NN","NULL","NULL"
"MOOSILAUKE","10","1","0.00","NULL","NULL","NULL"
"mooted","6","109","4.69","VB|JJ","NULL","NULL"
"mooting","7","58","4.06","VB|NN","NULL","0.81"
"moots","5","49","3.89","NULL","NULL","NULL"
"mopeds","6","46","3.83","NN","NULL","NULL"
"mopes","5","17","2.83","VB","NULL","NULL"
"moping","6","86","4.45","VB|NN","NULL","NULL"
"moppets","7","16","2.77","NN","NULL","NULL"
"moquette","8","5","1.61","NN","NULL","NULL"
"MOR","3","820","6.71","NULL","NULL","NULL"
"moraine","7","69","4.23","NN","NULL","NULL"
"MORAINE'S","9","2","0.69","NULL","NULL","NULL"
"moraines","8","15","2.71","NN","NULL","NULL"
"moralistically","14","7","1.95","RB","NULL","NULL"
"moralists","9","110","4.70","NN","NULL","NULL"
"moralized","9","2","0.69","VB|JJ","NULL","NULL"
"moralizer","9","1","0.00","NN","NULL","NULL"
"moralizers","10","3","1.10","NN","NULL","NULL"
"moralizes","9","0","0.00","VB","NULL","NULL"
"moralizing","10","143","4.96","VB|NN","NULL","NULL"
"morasses","8","1","0.00","NN","NULL","NULL"
"moratoria","9","49","3.89","NN","NULL","NULL"
"moratoriums","11","18","2.89","NN","NULL","NULL"
"MORAVIAN","8","80","4.38","NN","NULL","NULL"
"morbidities","11","1","0.00","NN","NULL","NULL"
"morbidly","8","80","4.38","RB","NULL","NULL"
"morbidness","10","0","0.00","NN","NULL","NULL"
"mordant","7","57","4.04","JJ|NN|VB","NULL","NULL"
"mordantly","9","2","0.69","RB","NULL","NULL"
"MORE'N","6","20","3.00","NULL","NULL","NULL"
"MOREHOUSE","9","99","4.60","NN","NULL","NULL"
"MORELAND","8","144","4.97","NN","NULL","NULL"
"morello","7","21","3.04","NN","NULL","NULL"
"morellos","8","8","2.08","NN","NULL","NULL"
"Moresque","8","2","0.69","JJ|NN","NULL","NULL"
"morganatic","10","4","1.39","JJ","NULL","NULL"
"morganatically","14","0","0.00","RB","NULL","NULL"
"MORGART","7","0","0.00","NULL","NULL","NULL"
"MORGEN","6","249","5.52","minor","NULL","NULL"
"MORGENTHAU","10","72","4.28","NN","NULL","NULL"
"MORGENTHAU'S","12","24","3.18","NULL","NULL","NULL"
"morgues","7","50","3.91","NN","NULL","NULL"
"MORIARTY","8","664","6.50","NN","NULL","NULL"
"MORIARTY'S","10","55","4.01","encl","NULL","NULL"
"MORIKAWA","8","38","3.64","NULL","NULL","NULL"
"MORITZ","6","272","5.61","NN","NULL","NULL"
"MORLEY","6","581","6.36","NN","NULL","NULL"
"Mormons","7","1085","6.99","NN","NULL","NULL"
"MORNINGSTAR","11","366","5.90","NULL","NULL","NULL"
"morns","5","20","3.00","NN","NULL","NULL"
"Moroccans","9","59","4.08","NN","NULL","NULL"
"moronic","7","1579","7.36","JJ","NULL","NULL"
"moronically","11","20","3.00","RB","NULL","NULL"
"morons","6","2672","7.89","NN","NULL","NULL"
"moroseness","10","7","1.95","NN","NULL","NULL"
"morphemes","9","34","3.53","NN","NULL","NULL"
"morphemics","10","0","0.00","NN","NULL","NULL"
"morphia","7","0","0.00","NULL","NULL","NULL"
"MORPHOLOGIC","11","24","3.18","JJ","NULL","NULL"
"MORPHOPHONEMIC","14","0","0.00","JJ","NULL","NULL"
"MORPHOPHONEMICS","15","0","0.00","NN","NULL","NULL"
"Morrison","8","3390","8.13","NN","NULL","NULL"
"MORSE'S","7","72","4.28","NULL","NULL","NULL"
"MORT","4","983","6.89","NN","NULL","NULL"
"mortarboards","12","0","0.00","NN","NULL","NULL"
"mortgaged","9","44","3.78","VB","NULL","NULL"
"mortgagee","9","6","1.79","NN","NULL","NULL"
"mortgagees","10","2","0.69","NN","NULL","NULL"
"mortgaging","10","37","3.61","VB|NN|JJ","NULL","NULL"
"mortgagor","9","4","1.39","NN","NULL","NULL"
"mortgagors","10","1","0.00","NN","NULL","NULL"
"mortified","9","192","5.26","VB|JJ","NULL","NULL"
"mortifies","9","1","0.00","VB","NULL","NULL"
"mortifying","10","8","2.08","VB|NN|JJ","NULL","NULL"
"mortise","7","71","4.26","NN","NULL","NULL"
"mortised","8","9","2.20","JJ","NULL","NULL"
"mortises","8","23","3.14","NN","NULL","NULL"
"mortising","9","48","3.87","VB","NULL","NULL"
"mortuaries","10","5","1.61","NN","NULL","NULL"
"MOS","3","3509","8.16","NULL","NULL","NULL"
"MOSCONE","7","61","4.11","NULL","NULL","NULL"
"MOSE","4","104","4.64","NULL","NULL","0.73"
"moselle","7","30","3.40","NN","NULL","NULL"
"moselles","8","0","0.00","NN","NULL","NULL"
"moseyed","7","18","2.89","VB","NULL","NULL"
"moseying","8","7","1.95","VB|NN|JJ","NULL","NULL"
"moseys","6","1","0.00","VB","NULL","NULL"
"MOSK","4","27","3.30","NULL","NULL","NULL"
"MOSSBERG","8","142","4.96","NULL","NULL","NULL"
"MOSSBERG'S","10","5","1.61","NULL","NULL","NULL"
"mosses","6","48","3.87","NN","NULL","NULL"
"mossier","7","0","0.00","JJ","NULL","NULL"
"mossiest","8","0","0.00","JJ","NULL","NULL"
"MOT","3","1228","7.11","NN|minor","NULL","0.90"
"mote","4","322","5.77","NN","NULL","NULL"
"motes","5","56","4.03","NN","NULL","NULL"
"motet","5","37","3.61","NN","NULL","NULL"
"motets","6","137","4.92","NN","NULL","NULL"
"mothballs","9","101","4.62","NN","NULL","NULL"
"mothering","9","230","5.44","VB|NN|JJ","NULL","NULL"
"motherlike","10","0","0.00","VB|NN|JJ","NULL","NULL"
"motherliness","12","0","0.00","NN","NULL","NULL"
"MOTHERWELL","10","63","4.14","NN","NULL","NULL"
"mothproofed","11","0","0.00","JJ|VB","NULL","NULL"
"mothproofing","12","0","0.00","VB|NN|JJ","NULL","NULL"
"mothproofs","10","0","0.00","NN|VB","NULL","NULL"
"motionlessly","12","11","2.40","RB","NULL","NULL"
"motionlessness","14","7","1.95","NN","NULL","NULL"
"motorbikes","10","97","4.57","NN","NULL","NULL"
"motorboats","10","11","2.40","NN","NULL","NULL"
"motorcades","10","15","2.71","NULL","NULL","NULL"
"motorcars","9","85","4.44","NN","NULL","NULL"
"motorcycles","11","1116","7.02","NN","NULL","NULL"
"motorcyclist","12","185","5.22","NN","NULL","NULL"
"motorcyclists","13","272","5.61","NN","NULL","NULL"
"motored","7","48","3.87","VB|JJ","NULL","NULL"
"motorized","9","575","6.35","VB","NULL","NULL"
"motorizes","9","2","0.69","VB","NULL","NULL"
"motorizing","10","6","1.79","VB|NN|JJ","NULL","NULL"
"motorman","8","6","1.79","NN","NULL","NULL"
"motormen","8","1","0.00","NN","NULL","NULL"
"MOTORSCOOTERS","13","6","1.79","NN","NULL","NULL"
"motorways","9","61","4.11","NN","NULL","NULL"
"mottles","7","1","0.00","VB|NN","NULL","NULL"
"mottling","8","31","3.43","VB|NN|JJ","NULL","NULL"
"mottoes","7","13","2.56","NN","NULL","NULL"
"MOUGH","5","1","0.00","NULL","NULL","0.94"
"moujik","6","1","0.00","NN","NULL","NULL"
"moujiks","7","0","0.00","NULL","NULL","NULL"
"moulded","7","249","5.52","VB|JJ","NULL","NULL"
"moulder","7","140","4.94","VB","NULL","NULL"
"mouldered","9","1","0.00","VB|JJ","NULL","NULL"
"moulders","8","4","1.39","VB","NULL","NULL"
"mouldier","8","0","0.00","JJ","NULL","NULL"
"mouldiest","9","1","0.00","JJ","NULL","NULL"
"mouldiness","10","0","0.00","NN","NULL","NULL"
"mouldings","9","38","3.64","NN","NULL","NULL"
"moulds","6","78","4.36","NN|VB","NULL","NULL"
"mouldy","6","37","3.61","JJ","NULL","NULL"
"moult","5","26","3.26","VB","NULL","NULL"
"moulted","7","4","1.39","VB|JJ","NULL","NULL"
"miladies","8","7","1.95","NN","NULL","NULL"
"MILANOFF","8","0","0.00","NULL","NULL","NULL"
"MILBANKES","9","0","0.00","NULL","NULL","NULL"
"milch","5","44","3.78","JJ","NULL","NULL"
"MILCOTE","7","0","0.00","NULL","NULL","NULL"
"mildest","7","79","4.37","JJ","NULL","NULL"
"mildewed","8","56","4.03","VB|JJ","NULL","NULL"
"mildewing","9","0","0.00","VB","NULL","NULL"
"mildews","7","16","2.77","NN","NULL","NULL"
"mildewy","7","12","2.48","JJ","NULL","NULL"
"mildness","8","24","3.18","NN","NULL","NULL"
"mileages","8","46","3.83","NN","NULL","NULL"
"MILENOFF","8","0","0.00","NULL","NULL","NULL"
"mileometer","10","0","0.00","NULL","NULL","NULL"
"mileometers","11","0","0.00","NULL","NULL","NULL"
"milers","6","40","3.69","NN","NULL","NULL"
"MILHAUD","7","15","2.71","NN","NULL","NULL"
"MILHAUD'S","9","3","1.10","NULL","NULL","NULL"
"MILIARIS","8","2","0.69","NULL","NULL","NULL"
"milieux","7","48","3.87","NULL","NULL","NULL"
"militants","9","676","6.52","NN","NULL","NULL"
"militaristic","12","142","4.96","JJ","NULL","NULL"
"militaristically","16","1","0.00","NN|VB","NULL","NULL"
"militarists","11","77","4.34","NN","NULL","NULL"
"militarized","11","81","4.39","VB|JJ","NULL","NULL"
"militarizes","11","0","0.00","VB","NULL","NULL"
"militarizing","12","3","1.10","VB","NULL","NULL"
"MILITATED","9","4","1.39","VB","NULL","NULL"
"militiamen","10","110","4.70","NN","NULL","NULL"
"militias","8","1281","7.16","NN","NULL","NULL"
"milkbar","7","8","2.08","NULL","NULL","NULL"
"milkbars","8","0","0.00","NULL","NULL","NULL"
"milked","6","336","5.82","VB","NULL","NULL"
"milker","6","14","2.64","NN","NULL","NULL"
"milkers","7","12","2.48","NN","NULL","NULL"
"milkier","7","2","0.69","JJ","NULL","NULL"
"milkiest","8","0","0.00","JJ","NULL","NULL"
"milkiness","9","2","0.69","NN","NULL","NULL"
"milking","7","590","6.38","VB","NULL","NULL"
"milkmaids","9","8","2.08","NN","NULL","NULL"
"milkmen","7","209","5.34","NN","NULL","NULL"
"milkshakes","10","115","4.74","NN","NULL","NULL"
"milksop","7","3","1.10","NN","NULL","NULL"
"milksops","8","1","0.00","NN","NULL","NULL"
"milkweeds","9","7","1.95","NULL","NULL","NULL"
"MILLAY","6","89","4.49","NN","NULL","NULL"
"MILLAY'S","8","2","0.69","NULL","NULL","NULL"
"millboard","9","0","0.00","NN","NULL","NULL"
"milldam","7","1","0.00","NN","NULL","NULL"
"milldams","8","0","0.00","NULL","NULL","NULL"
"MILLE","5","289","5.67","NULL","NULL","NULL"
"milled","6","219","5.39","JJ|VB","NULL","NULL"
"MILLEDGEVILLE","13","39","3.66","NN","NULL","NULL"
"millenarians","12","1","0.00","NN","NULL","NULL"
"millenaries","11","0","0.00","NULL","NULL","NULL"
"millenarian","11","11","2.40","NN","NULL","NULL"
"MILLENARIANISM","14","8","2.08","NN","NULL","NULL"
"millenary","9","5","1.61","NN|JJ","NULL","NULL"
"millers","7","107","4.67","NN","NULL","NULL"
"millet","6","447","6.10","NN","NULL","NULL"
"milliard","8","91","4.51","NN","NULL","NULL"
"milliards","9","32","3.47","NULL","NULL","NULL"
"millibar","8","15","2.71","NN","NULL","NULL"
"millibars","9","19","2.94","NN","NULL","NULL"
"MILLIDEGREE","11","0","0.00","NULL","NULL","NULL"
"MILLIDEGREES","12","0","0.00","NULL","NULL","NULL"
"MILLIE","6","332","5.81","NN","NULL","NULL"
"millilitre","10","34","3.53","NN","NULL","NULL"
"millilitres","11","20","3.00","NN","NULL","NULL"
"millimetre","10","51","3.93","NN","NULL","NULL"
"millimetres","11","62","4.13","NN","NULL","NULL"
"milliner","8","5","1.61","NN","NULL","NULL"
"milliners","9","2","0.69","NN","NULL","NULL"
"millionths","10","47","3.85","NN","NULL","NULL"
"millipedes","10","7","1.95","NN","NULL","NULL"
"MILLIVOLTMETER","14","0","0.00","NN|VB","NULL","NULL"
"millpond","8","2","0.69","NN","NULL","NULL"
"millponds","9","0","0.00","NN","NULL","NULL"
"millrace","8","0","0.00","NN","NULL","NULL"
"millraces","9","0","0.00","NULL","NULL","NULL"
"MILLS'S","7","18","2.89","NULL","NULL","NULL"
"millstones","10","104","4.64","NN","NULL","NULL"
"millwheels","10","0","0.00","NN","NULL","NULL"
"millwright","10","13","2.56","NN","NULL","NULL"
"millwrights","11","4","1.39","NN","NULL","NULL"
"MILMAN","6","58","4.06","NULL","NULL","NULL"
"milord","6","66","4.19","NN","NULL","NULL"
"milords","7","3","1.10","NN","NULL","NULL"
"MILQUETOAST","11","55","4.01","NN","NULL","NULL"
"MILQUETOASTS","12","4","1.39","NULL","NULL","NULL"
"MILSTEIN","8","77","4.34","NULL","NULL","NULL"
"MILTIES","7","0","0.00","NULL","NULL","NULL"
"mimed","5","133","4.89","VB|JJ","NULL","NULL"
"mimeographed","12","36","3.58","VB|JJ","NULL","NULL"
"mimeographing","13","0","0.00","VB|NN|JJ","NULL","NULL"
"mimeographs","11","2","0.69","NN","NULL","NULL"
"mimes","5","70","4.25","NN|VB","NULL","NULL"
"MIMETICALLY","11","1","0.00","RB","NULL","NULL"
"MIMI","4","813","6.70","NN","NULL","NULL"
"mimicked","8","141","4.95","VB|JJ","NULL","NULL"
"mimicking","9","192","5.26","VB","NULL","NULL"
"mimics","6","295","5.69","NN|VB","NULL","NULL"
"MIMIEUX","7","2","0.69","NULL","NULL","NULL"
"miming","6","21","3.04","VB|NN|JJ","NULL","NULL"
"mimosas","7","25","3.22","NN","NULL","NULL"
"min","3","64167","11.07","NN","NULL","NULL"
"MINACES","7","0","0.00","NULL","NULL","NULL"
"minaret","7","64","4.16","NN","NULL","NULL"
"minatory","8","1","0.00","JJ","NULL","NULL"
"MINBER","6","0","0.00","NULL","NULL","NULL"
"mincers","7","18","2.89","NN","NULL","NULL"
"minces","6","10","2.30","VB|NN","NULL","NULL"
"mincingly","9","0","0.00","RB","NULL","NULL"
"MINDANAO","8","73","4.29","NN","NULL","NULL"
"minders","7","45","3.81","NN","NULL","0.18"
"mindfully","9","42","3.74","RB","NULL","NULL"
"mindfulness","11","126","4.84","NN","NULL","NULL"
"minding","7","317","5.76","VB|NN","NULL","NULL"
"mindlessly","10","403","6.00","RB","NULL","NULL"
"minefields","10","199","5.29","NN","NULL","NULL"
"mindlessness","12","37","3.61","NN","NULL","NULL"
"minelayers","10","8","2.08","NULL","NULL","NULL"
"minelaying","10","11","2.40","VB","NULL","NULL"
"mineralogists","13","8","2.08","NN","NULL","NULL"
"minesweepers","12","27","3.30","NN","NULL","NULL"
"minesweeping","12","17","2.83","VB|NN|JJ","NULL","NULL"
"mingier","7","0","0.00","JJ","NULL","NULL"
"mingiest","8","0","0.00","NULL","NULL","NULL"
"MINGUS","6","328","5.79","NULL","NULL","NULL"
"mingy","5","4","1.39","JJ","NULL","NULL"
"MINH","4","2217","7.70","NULL","NULL","NULL"
"miniaturist","11","10","2.30","NN","NULL","NULL"
"miniaturists","12","9","2.20","NN","NULL","NULL"
"minibuses","9","12","2.48","NN","NULL","NULL"
"MINIFYING","9","0","0.00","NULL","NULL","NULL"
"minim","5","293","5.68","NN","NULL","NULL"
"minima","6","305","5.72","NN","NULL","NULL"
"minims","6","7","1.95","NN","NULL","NULL"
"minimums","8","948","6.85","NN","NULL","NULL"
"minions","7","1141","7.04","NN","NULL","NULL"
"minis","5","660","6.49","NN","NULL","NULL"
"ministerially","13","0","0.00","RB","NULL","NULL"
"MINISTERING","11","95","4.55","VB|NN|JJ","NULL","NULL"
"ministrant","10","0","0.00","NN","NULL","NULL"
"ministrants","11","0","0.00","NN","NULL","NULL"
"ministration","12","34","3.53","NN","NULL","NULL"
"miniver","7","32","3.47","NN","NULL","NULL"
"MINN","4","744","6.61","NULL","NULL","NULL"
"MINNETT","7","5","1.61","NULL","NULL","NULL"
"minnows","7","652","6.48","NN","NULL","NULL"
"MINNS","5","12","2.48","NULL","NULL","NULL"
"MINOSO","6","23","3.14","NULL","NULL","NULL"
"MINOT","5","202","5.31","NN","NULL","NULL"
"minster","7","101","4.62","NN","NULL","NULL"
"minsters","8","11","2.40","NN","NULL","NULL"
"minstrelsy","10","3","1.10","NN","NULL","NULL"
"minted","6","194","5.27","VB","NULL","NULL"
"minting","7","64","4.16","VB|NN|JJ","NULL","NULL"
"mints","5","268","5.59","NN|VB","NULL","NULL"
"minuets","7","34","3.53","NN","NULL","NULL"
"MINUMUM","7","355","5.87","NULL","NULL","NULL"
"minuses","7","212","5.36","NN|VB","NULL","NULL"
"minuted","7","23","3.14","VB|JJ","NULL","NULL"
"minuteness","10","1","0.00","NN","NULL","NULL"
"minuter","7","3","1.10","JJ","NULL","NULL"
"minutest","8","36","3.58","JJ","NULL","NULL"
"minuting","8","0","0.00","VB","NULL","NULL"
"minxes","6","6","1.79","NN","NULL","NULL"
"MIO","3","1175","7.07","NULL","NULL","NULL"
"MIRA","4","1193","7.08","NN","NULL","NULL"
"mirages","7","112","4.72","NN","NULL","NULL"
"MIRANDA","7","1704","7.44","NN","NULL","NULL"
"MIRANDA'S","9","52","3.95","NULL","NULL","NULL"
"mired","5","255","5.54","VB","NULL","NULL"
"mires","5","26","3.26","VB|NN","NULL","NULL"
"MIRIANI'S","9","0","0.00","NULL","NULL","NULL"
"mirier","6","0","0.00","JJ","NULL","NULL"
"miriest","7","0","0.00","JJ","NULL","NULL"
"miring","6","4","1.39","VB|NN|JJ","NULL","0.71"
"MIRO","4","844","6.74","NN","NULL","NULL"
"mirroring","9","1161","7.06","VB|NN","NULL","NULL"
"MIRSKY'S","8","11","2.40","NULL","NULL","NULL"
"mirthful","8","19","2.94","JJ","NULL","NULL"
"mirthfully","10","2","0.69","RB","NULL","NULL"
"miry","4","8","2.08","JJ","NULL","NULL"
"misadventures","13","122","4.80","NN","NULL","NULL"
"misadvised","10","1","0.00","JJ|VB","NULL","NULL"
"misadvises","10","0","0.00","VB","NULL","NULL"
"misadvising","11","2","0.69","VB|NN|JJ","NULL","NULL"
"misalliances","12","0","0.00","NN","NULL","NULL"
"misanthropes","12","25","3.22","NN","NULL","NULL"
"misanthropically","16","2","0.69","RB","NULL","NULL"
"misanthropist","13","2","0.69","NN","NULL","NULL"
"misanthropists","14","2","0.69","NN","NULL","NULL"
"misapplications","15","9","2.20","NN","NULL","NULL"
"misapplied","10","201","5.30","VB|JJ","NULL","NULL"
"misapplies","10","2","0.69","VB","NULL","NULL"
"misapplying","11","16","2.77","VB|NN|JJ","NULL","NULL"
"misapprehended","14","4","1.39","VB|JJ","NULL","NULL"
"misapprehending","15","0","0.00","VB|NN|JJ","NULL","NULL"
"misapprehends","13","6","1.79","VB","NULL","NULL"
"misapprehensions","16","25","3.22","NN","NULL","NULL"
"misappropriated","15","75","4.32","VB|JJ","NULL","NULL"
"misappropriates","15","0","0.00","VB","NULL","NULL"
"misbehaved","10","76","4.33","VB|JJ","NULL","NULL"
"misbehaves","10","73","4.29","VB","NULL","NULL"
"misappropriating","16","18","2.89","VB","NULL","NULL"
"misappropriation","16","125","4.83","NN","NULL","NULL"
"misappropriations","17","9","2.20","NN","NULL","NULL"
"misbehaving","11","248","5.51","VB|NN","NULL","NULL"
"misbehaviour","12","54","3.99","NN","NULL","NULL"
"miscalculates","13","4","1.39","VB","NULL","NULL"
"miscalculating","14","22","3.09","VB|NN|JJ","NULL","NULL"
"miscalled","9","9","2.20","JJ","NULL","NULL"
"miscalling","10","9","2.20","VB","NULL","NULL"
"miscalls","8","4","1.39","NN","NULL","NULL"
"miscarriages","12","284","5.65","NN","NULL","NULL"
"miscarries","10","11","2.40","VB","NULL","NULL"
"miscarrying","11","30","3.40","VB|NN|JJ","NULL","NULL"
"miscasting","10","15","2.71","VB|NN|JJ","NULL","NULL"
"miscasts","8","0","0.00","VB","NULL","NULL"
"miscegenation","13","181","5.20","NN","NULL","NULL"
"miscellanea","11","168","5.12","NN","NULL","NULL"
"miscellaneously","15","3","1.10","RB","NULL","NULL"
"miscellaneousness","17","0","0.00","NN","NULL","NULL"
"miscellany","10","405","6.00","NN","NULL","NULL"
"MISCHA","6","121","4.80","NN","NULL","NULL"
"mischances","10","1","0.00","NN","NULL","NULL"
"mischiefs","9","11","2.40","NN","NULL","NULL"
"mischievously","13","82","4.41","RB","NULL","NULL"
"mischievousness","15","7","1.95","NN","NULL","NULL"
"misconceived","12","42","3.74","VB|JJ","NULL","NULL"
"misconceives","12","3","1.10","VB","NULL","NULL"
"misconceiving","13","3","1.10","VB|NN|JJ","NULL","NULL"
"misconducted","12","1","0.00","JJ|VB","NULL","NULL"
"misconducting","13","2","0.69","VB|NN|JJ","NULL","NULL"
"misconducts","11","25","3.22","NN","NULL","NULL"
"misconstrues","12","2","0.69","VB","NULL","NULL"
"misconstruing","13","20","3.00","VB|NN|JJ","NULL","NULL"
"miscounted","10","245","5.50","VB|JJ","NULL","NULL"
"miscounting","11","17","2.83","VB|NN|JJ","NULL","NULL"
"miscounts","9","20","3.00","NN","NULL","NULL"
"miscued","7","5","1.61","VB","NULL","NULL"
"miscues","7","27","3.30","VB","NULL","NULL"
"miscuing","8","0","0.00","VB","NULL","NULL"
"misdated","8","3","1.10","VB","NULL","NULL"
"misdates","8","5","1.61","VB","NULL","NULL"
"misdating","9","2","0.69","VB","NULL","NULL"
"misdealing","10","0","0.00","VB|NN|JJ","NULL","NULL"
"misdeals","8","2","0.69","NN","NULL","NULL"
"misdealt","8","0","0.00","VB|JJ","NULL","NULL"
"misdemean","9","1","0.00","VB","NULL","NULL"
"MISDEMEANANTS","13","1","0.00","NULL","NULL","NULL"
"misdemeaned","11","0","0.00","NULL","NULL","NULL"
"misdemeaning","12","0","0.00","NULL","NULL","NULL"
"misdemeanour","12","30","3.40","NN","NULL","NULL"
"misdemeanours","13","11","2.40","NN","NULL","NULL"
"misdemeans","10","0","0.00","NULL","NULL","NULL"
"misdirected","11","407","6.01","VB|JJ","NULL","NULL"
"misdirecting","12","25","3.22","VB|NN|JJ","NULL","NULL"
"MISDIRECTORS","12","0","0.00","NULL","NULL","NULL"
"misdirects","10","5","1.61","VB","NULL","NULL"
"misdoings","9","19","2.94","NN","NULL","NULL"
"miserliness","11","9","2.20","NN","NULL","NULL"
"miserly","7","84","4.43","JJ","NULL","NULL"
"misers","6","12","2.48","NN","NULL","NULL"
"MISES","5","252","5.53","NULL","NULL","NULL"
"misfires","8","62","4.13","VB","NULL","NULL"
"misfiring","9","43","3.76","VB|NN|JJ","NULL","NULL"
"misfits","7","527","6.27","NN","NULL","NULL"
"misgave","7","0","0.00","VB","NULL","NULL"
"misgiven","8","7","1.95","NULL","NULL","NULL"
"misgives","8","0","0.00","VB","NULL","NULL"
"misgiving","9","20","3.00","NN","NULL","NULL"
"misgoverned","11","0","0.00","VB|JJ","NULL","NULL"
"misgoverning","12","0","0.00","VB","NULL","NULL"
"misgovernment","13","5","1.61","NN","NULL","NULL"
"misgoverns","10","0","0.00","VB","NULL","NULL"
"misguidedly","11","23","3.14","RB","NULL","NULL"
"misguides","9","3","1.10","VB","NULL","NULL"
"misguiding","10","13","2.56","VB","NULL","NULL"
